N / bw->>,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0
1.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.35,0.35
4.0,0.3,0.3,0.3,0.3,0.3,0.35,0.35,0.4,0.4
5.0,0.3,0.3,0.3,0.35,0.35,0.4,0.4,0.45,0.45
6.0,0.3,0.3,0.35,0.35,0.4,0.45,0.45,0.5,0.5
7.0,0.3,0.35,0.35,0.4,0.45,0.45,0.5,0.55,0.55
8.0,0.3,0.35,0.35,0.4,0.4,0.45,0.5,0.5,0.55
9.0,0.3,0.35,0.4,0.4,0.45,0.5,0.5,0.55,0.55
10.0,0.35,0.35,0.4,0.45,0.45,0.5,0.55,0.55,0.6
11.0,0.35,0.4,0.4,0.45,0.5,0.55,0.55,0.6,0.65
12.0,0.35,0.4,0.45,0.5,0.5,0.55,0.6,0.65,0.65
13.0,0.4,0.4,0.45,0.5,0.55,0.6,0.6,0.65,0.7
14.0,0.4,0.45,0.5,0.5,0.55,0.6,0.65,0.7,0.7
15.0,0.4,0.45,0.5,0.55,0.6,0.6,0.65,0.7,0.75
16.0,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.75
